id,text,label
0,This is a rumor circulating online,non-rumor
1,Check facts before sharing this post,non-rumor
2,This is a rumor circulating online,non-rumor
3,Unverified claim spreading rapidly,non-rumor
4,This is a rumor circulating online,non-rumor
5,Official statement released by authorities,non-rumor
6,Unverified claim spreading rapidly,non-rumor
7,Unverified claim spreading rapidly,rumor
8,Breaking news event reported in Beijing,non-rumor
9,This is a rumor circulating online,rumor
10,This is a rumor circulating online,non-rumor
11,Unverified claim spreading rapidly,rumor
12,Breaking news event reported in Beijing,non-rumor
13,Unverified claim spreading rapidly,non-rumor
14,Official statement released by authorities,non-rumor
15,Official statement released by authorities,non-rumor
16,Unverified claim spreading rapidly,non-rumor
17,Official statement released by authorities,rumor
18,This is a rumor circulating online,non-rumor
19,This is a rumor circulating online,non-rumor
20,Unverified claim spreading rapidly,rumor
21,Unverified claim spreading rapidly,rumor
22,This is a rumor circulating online,rumor
23,This is a rumor circulating online,rumor
24,Check facts before sharing this post,non-rumor
25,Check facts before sharing this post,rumor
26,Official statement released by authorities,rumor
27,This is a rumor circulating online,non-rumor
28,This is a rumor circulating online,rumor
29,This is a rumor circulating online,rumor
30,Official statement released by authorities,non-rumor
31,Breaking news event reported in Beijing,rumor
32,This is a rumor circulating online,rumor
33,Unverified claim spreading rapidly,non-rumor
34,Unverified claim spreading rapidly,non-rumor
35,This is a rumor circulating online,non-rumor
36,Unverified claim spreading rapidly,rumor
37,Breaking news event reported in Beijing,rumor
38,Official statement released by authorities,rumor
39,Breaking news event reported in Beijing,non-rumor
40,Official statement released by authorities,non-rumor
41,Unverified claim spreading rapidly,non-rumor
42,Unverified claim spreading rapidly,rumor
43,Check facts before sharing this post,rumor
44,Unverified claim spreading rapidly,rumor
45,Check facts before sharing this post,non-rumor
46,Official statement released by authorities,non-rumor
47,Official statement released by authorities,non-rumor
48,Breaking news event reported in Beijing,non-rumor
49,This is a rumor circulating online,non-rumor
50,Unverified claim spreading rapidly,non-rumor
51,Official statement released by authorities,non-rumor
52,This is a rumor circulating online,rumor
53,Unverified claim spreading rapidly,rumor
54,This is a rumor circulating online,non-rumor
55,Breaking news event reported in Beijing,rumor
56,Unverified claim spreading rapidly,non-rumor
57,Check facts before sharing this post,rumor
58,This is a rumor circulating online,rumor
59,Unverified claim spreading rapidly,non-rumor
60,Check facts before sharing this post,non-rumor
61,Breaking news event reported in Beijing,rumor
62,Check facts before sharing this post,rumor
63,Unverified claim spreading rapidly,rumor
64,Breaking news event reported in Beijing,rumor
65,Unverified claim spreading rapidly,rumor
66,Unverified claim spreading rapidly,rumor
67,Unverified claim spreading rapidly,non-rumor
68,Breaking news event reported in Beijing,rumor
69,Breaking news event reported in Beijing,non-rumor
70,Unverified claim spreading rapidly,non-rumor
71,This is a rumor circulating online,rumor
72,This is a rumor circulating online,rumor
73,This is a rumor circulating online,rumor
74,Official statement released by authorities,non-rumor
75,Unverified claim spreading rapidly,non-rumor
76,Breaking news event reported in Beijing,rumor
77,Check facts before sharing this post,non-rumor
78,This is a rumor circulating online,rumor
79,Breaking news event reported in Beijing,rumor
80,Official statement released by authorities,rumor
